V1`ariant SKU,Diamond SKU,Image 1,Image 2,Variant SKU
BP0003-R-1CTW-W-18k-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0003-R-1ctw-W-B.jpg?v=1749230607,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0003-R-1ctw-W-C.jpg?v=1749230606,BP0003-R-1CTW-W-18k-f-89CDD50A5
BP0003-R-1CTW-Y-18k-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0003-R-1ctw-Y-B.jpg?v=1749230752,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0003-R-1ctw-Y-C.jpg?v=1749230752,BP0003-R-1CTW-Y-18k-f-89CDD50A5
BP0003-R-1CTW-R-18k-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0003-R-1ctw-R-B.jpg?v=1749230479,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0003-R-1ctw-R-C.jpg?v=1749230479,BP0003-R-1CTW-R-18k-f-89CDD50A5
BP0003-R-1CTW-P-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0003-R-1ctw-W-B.jpg?v=1749230607,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0003-R-1ctw-W-C.jpg?v=1749230606,BP0003-R-1CTW-P-f-89CDD50A5
BP0004-R-1CTW-W-14k-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0004-R-1ctw-W-B.jpg?v=1749231368,,
BP0004-R-1CTW-Y-14k-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0004-R-1ctw-Y-B.jpg?v=1749231421,,
BP0004-R-1CTW-R-14k-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0004-R-1ctw-R-B.jpg?v=1749231485,,
BP0004-R-1CTW-W-18k-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0004-R-1ctw-W-B.jpg?v=1749231368,,
BP0004-R-1CTW-Y-18k-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0004-R-1ctw-Y-B.jpg?v=1749231421,,
BP0004-R-1CTW-R-18k-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0004-R-1ctw-R-B.jpg?v=1749231485,,
BP0004-R-1CTW-P-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0004-R-1ctw-W-B.jpg?v=1749231368,,
