Variant SKU,Video URL
BR0001-E-9x7-R-14k-f,https://cdn.shopify.com/videos/c/o/v/bff833c5e72a4109899a860956976ad2.mp4
BR0001-E-10x8-R-14k-f,https://cdn.shopify.com/videos/c/o/v/a0afd816be194f1f93c285f9431b171c.mp4
BR0001-P-6x6-R-14k-f, https://cdn.shopify.com/videos/c/o/v/74bc9f6cde2041298efd2cdc63500e1d.mp4
BR0001-P-7x7-R-14k-f, https://cdn.shopify.com/videos/c/o/v/7851b1477dd544e8a79fa02ce2fc6c9f.mp4
BR0001-P-8x8-R-14k-f, https://cdn.shopify.com/videos/c/o/v/d5fa720279424ffb93a0c171a17544da.mp4
BR0001-R-6.5-R-14k-f,https://cdn.shopify.com/videos/c/o/v/fbff1fed622a4b1ca6e86f6439ce78e8.mp4
BR0001-R-8-R-14k-f,https://cdn.shopify.com/videos/c/o/v/c69f138bf92d41e8bec20caf290f7054.mp4
BR0001-R-9.4-R-14k-f,https://cdn.shopify.com/videos/c/o/v/3b941c4ed6bd49c88d645df5fc5d4d8d.mp4
BR0001-A-6x6-R-18k-f,https://cdn.shopify.com/videos/c/o/v/0cb9cdfe169c447c95151704fe12509c.mp4
BR0001-A-7x7-R-18k-f,https://cdn.shopify.com/videos/c/o/v/3552788ed8884663ad9865b61d26210f.mp4
BR0001-O-7x5-R-18k-f,https://cdn.shopify.com/videos/c/o/v/fce41a92e055414fbc4f1cc0b5aa763b.mp4
BR0001-O-8x6-R-18k-f,https://cdn.shopify.com/videos/c/o/v/c7555ba7d552497fb44426b6da74ca84.mp4
BR0001-O-9x7-R-18k-f,https://cdn.shopify.com/videos/c/o/v/cc4928e2c1dc48079153f6835e99434f.mp4
BR0001-C-6x6-R-18k-f,https://cdn.shopify.com/videos/c/o/v/47f598dd8e204ea1a4d81cd3f403defb.mp4
BR0001-C-7x7-R-18k-f,https://cdn.shopify.com/videos/c/o/v/9b5ae8d1159447478bdc3cdefa7eb3b4.mp4
BR0001-C-8x8-R-18k-f,https://cdn.shopify.com/videos/c/o/v/e7101a9ad4ff4350bb615b54f666ba8d.mp4
BR0001-E-7x5-R-18k-f,https://cdn.shopify.com/videos/c/o/v/d4f209f498fa4f6d8bd11c64875783c1.mp4
BR0001-E-8x6-R-18k-f,https://cdn.shopify.com/videos/c/o/v/fc601fb4b531462b9d2ba1a8ad7d9d88.mp4
BR0001-E-9x7-R-18k-f,https://cdn.shopify.com/videos/c/o/v/bff833c5e72a4109899a860956976ad2.mp4
BR0001-E-10x8-R-18k-f,https://cdn.shopify.com/videos/c/o/v/a0afd816be194f1f93c285f9431b171c.mp4
BR0001-P-6x6-R-18k-f, https://cdn.shopify.com/videos/c/o/v/74bc9f6cde2041298efd2cdc63500e1d.mp4
BR0001-P-7x7-R-18k-f, https://cdn.shopify.com/videos/c/o/v/7851b1477dd544e8a79fa02ce2fc6c9f.mp4
BR0001-P-8x8-R-18k-f, https://cdn.shopify.com/videos/c/o/v/d5fa720279424ffb93a0c171a17544da.mp4
